,precision,recall,f1-score,support
0,0.7241379310344828,0.75,0.7368421052631579,28.0
1,0.78125,0.7575757575757576,0.7692307692307693,33.0
accuracy,0.7540983606557377,0.7540983606557377,0.7540983606557377,0.7540983606557377
macro avg,0.7526939655172413,0.7537878787878788,0.7530364372469636,61.0
weighted avg,0.7550346240814019,0.7540983606557377,0.7543638415079313,61.0
