,precision,recall,f1-score,support
0,0.75,0.75,0.75,28.0
1,0.7878787878787878,0.7878787878787878,0.7878787878787878,33.0
accuracy,0.7704918032786885,0.7704918032786885,0.7704918032786885,0.7704918032786885
macro avg,0.7689393939393939,0.7689393939393939,0.7689393939393939,61.0
weighted avg,0.7704918032786885,0.7704918032786885,0.7704918032786885,61.0
