,importance
cp,0.1616931292525936
ca,0.14780933360039034
thalach,0.11406655794844126
thal,0.09994663260280337
oldpeak,0.0950389657546257
age,0.08393201242841365
chol,0.07325455753692438
trestbps,0.06743516628670082
exang,0.06368973400606187
sex,0.03608688286922354
slope,0.029382128971539908
restecg,0.019858679063668318
fbs,0.00780621967861327
